Round/Game,Winner,Loser,Crash,Timeout,Map,Duration,W Score,L Score,(W-L)/Max,W 55,W 1000,W 10000,L 55,L 1000,L 10000,Win Addr,Lose Addr,Start,Finish,Round/Game,,Bot,Games,Win,Loss,Win %,AvgTime,Hour,Crash,Timeout
6 / 01296,Aiur,Overkill,FALSE,FALSE,CircuitBreaker,00:14:29,78739,37029,0.52972,0,0,0,0,0,0,/192.168.0.34,/192.168.0.41,20160925_144934,20160925_145257,7 / 01296,,,,,,,,,,
7 / 01490,Aiur,CruzBot,FALSE,FALSE,EmpireoftheSun,00:12:09,50231,23524,0.53167,0,0,0,0,0,0,/192.168.0.34,/192.168.0.22,20160925_173243,20160925_173515,8 / 01490,,,,,,,,,,
7 / 01493,Aiur,Skynet,FALSE,FALSE,EmpireoftheSun,00:14:11,48467,19108,0.60574,0,0,0,115,0,0,/192.168.0.11,/192.168.0.44,20160925_173449,20160925_173756,8 / 01493,,,,,,,,,,
7 / 01494,Aiur,Xelnaga,FALSE,FALSE,EmpireoftheSun,00:59:31,20983,13758,0.34431,0,0,0,0,0,0,/192.168.0.43,/192.168.0.42,20160925_173532,20160925_174215,8 / 01494,,,,,,,,,,
7 / 01500,Aiur,SRbotOne,FALSE,FALSE,EmpireoftheSun,00:10:17,28604,10534,0.63171,0,0,0,6,0,0,/192.168.0.12,/192.168.0.41,20160925_174006,20160925_174154,8 / 01500,,,,,,,,,,
7 / 01501,Aiur,TerranUAB,FALSE,FALSE,EmpireoftheSun,00:08:17,18205,6498,0.64303,0,0,0,0,0,0,/192.168.0.13,/192.168.0.33,20160925_174044,20160925_174222,8 / 01501,,,,,,,,,,
7 / 01502,Aiur,Tyr,FALSE,FALSE,EmpireoftheSun,00:09:16,15218,550,0.9638,0,0,0,0,0,0,/192.168.0.23,/192.168.0.32,20160925_174127,20160925_174254,8 / 01502,,,,,,,,,,
7 / 01506,Aiur,Overkill,FALSE,FALSE,EmpireoftheSun,00:13:41,18329,3559,0.80578,0,0,0,0,0,0,/192.168.0.33,/192.168.0.43,20160925_174420,20160925_174653,8 / 01506,,,,,,,,,,
8 / 01703,Aiur,Skynet,FALSE,FALSE,Fortress,00:09:15,24934,13260,0.46818,0,0,0,0,0,0,/192.168.0.13,/192.168.0.11,20160925_203914,20160925_204111,9 / 01703,,,,,,,,,,
8 / 01704,Aiur,Xelnaga,FALSE,FALSE,Fortress,00:13:17,18545,7099,0.61717,0,0,0,0,0,0,/192.168.0.23,/192.168.0.32,20160925_203957,20160925_204147,9 / 01704,,,,,,,,,,
8 / 01705,Aiur,Ximp,FALSE,Ximp,Fortress,00:18:39,61655,114657,-0.46226,8,0,0,320,0,0,/192.168.0.31,/192.168.0.44,20160925_204038,20160925_204556,9 / 01705,,,,,,,,,,
8 / 01708,Aiur,LetaBot,FALSE,FALSE,Fortress,00:28:32,114699,46630,0.59345,0,0,0,1,0,0,/192.168.0.13,/192.168.0.12,20160925_204242,20160925_204754,9 / 01708,,,,,,,,,,
8 / 01709,Aiur,Oritaka,FALSE,FALSE,Fortress,00:10:29,37025,12796,0.65438,0,0,0,0,0,0,/192.168.0.34,/192.168.0.23,20160925_204326,20160925_204545,9 / 01709,,,,,,,,,,
8 / 01710,Aiur,SRbotOne,FALSE,FALSE,Fortress,00:13:46,47962,27466,0.42733,0,0,0,7,1,0,/192.168.0.32,/192.168.0.43,20160925_204406,20160925_204655,9 / 01710,,,,,,,,,,
8 / 01711,Aiur,TerranUAB,FALSE,FALSE,Fortress,00:17:37,64827,47673,0.26461,0,0,0,0,0,0,/192.168.0.22,/192.168.0.11,20160925_204447,20160925_204811,9 / 01711,,,,,,,,,,
8 / 01712,Aiur,Tyr,FALSE,FALSE,Fortress,00:08:36,13338,550,0.95869,0,0,0,0,0,0,/192.168.0.42,/192.168.0.33,20160925_204528,20160925_204654,9 / 01712,,,,,,,,,,
8 / 01713,Aiur,Cimex,Cimex,FALSE,Fortress,00:10:45,26760,11538,0.56881,0,0,0,0,0,0,/192.168.0.41,/192.168.0.23,20160925_204609,20160925_204917,9 / 01713,,,,,,,,,,
8 / 01715,Aiur,JiaBot,FALSE,FALSE,Fortress,00:11:22,42815,14075,0.67124,0,0,0,29,0,0,/192.168.0.44,/192.168.0.33,20160925_204737,20160925_204931,9 / 01715,,,,,,,,,,
9 / 01910,Aiur,CruzBot,FALSE,FALSE,Python,00:13:50,18162,4473,0.75368,0,0,0,0,0,0,/192.168.0.22,/192.168.0.32,20160925_233530,20160925_233742,10 / 01910,,,,,,,,,,
9 / 01911,Aiur,MegaBot,FALSE,FALSE,Python,00:16:37,60870,35885,0.41046,0,0,0,2,0,0,/192.168.0.42,/192.168.0.11,20160925_233611,20160925_233944,10 / 01911,,,,,,,,,,
9 / 01913,Aiur,Skynet,FALSE,FALSE,Python,00:09:25,29237,9539,0.67371,0,0,0,0,0,0,/192.168.0.23,/192.168.0.33,20160925_233730,20160925_233924,10 / 01913,,,,,,,,,,
9 / 01914,Aiur,Xelnaga,FALSE,FALSE,Python,00:13:10,48872,19939,0.592,0,0,0,0,0,0,/192.168.0.22,/192.168.0.43,20160925_233816,20160925_234017,10 / 01914,,,,,,,,,,
9 / 01918,Aiur,LetaBot,FALSE,FALSE,Python,00:11:15,46183,20398,0.55831,0,0,0,0,0,0,/192.168.0.43,/192.168.0.42,20160925_234058,20160925_234253,10 / 01918,,,,,,,,,,
9 / 01919,Aiur,Oritaka,FALSE,FALSE,Python,00:09:14,27547,6995,0.74604,0,0,0,0,0,0,/192.168.0.13,/192.168.0.22,20160925_234141,20160925_234339,10 / 01919,,,,,,,,,,
9 / 01920,Aiur,SRbotOne,FALSE,FALSE,Python,00:19:16,64381,20041,0.6887,0,0,0,1,0,0,/192.168.0.31,/192.168.0.12,20160925_234250,20160925_234557,10 / 01920,,,,,,,,,,
9 / 01921,Aiur,TerranUAB,FALSE,FALSE,Python,00:13:13,53534,25140,0.53038,0,0,0,0,0,0,/192.168.0.11,/192.168.0.44,20160925_234327,20160925_234606,10 / 01921,,,,,,,,,,
